CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2023,OUD_Deaths2023,OUDCases_2023,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily _Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYrs,MedianHHIncome,PovertyPct,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,Category name,Category description,Urban_Rural,Metro_NonMetro,HHMI_State,HHMI_Quartile,PovertyRate_State,PovertyRate_Quartile,HHMI_quartileProse
51021,21,us-va-021,Bland County                                      ,"6,221",1,67,"$1,183,336.00","$449,266.00","$397,472.00","$2,030,074.00",$326.00,"$39,923.00","$234,664.00","$18,344.00","$606,332.00","$899,263.00",$145.00,"$583,708.00",$94.00,"$257,216.00","$82,845.00"," $	340,061 ",$148.00,"$3,853,105.00",$619.00,"$1,735,610.00","$1,275,612.00","$841,883.00",45.8,54556,11.83,Mount Rogers,Southwest,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,2nd Quartile,HIGHER,2nd Quartile,lower than 50% of Virginia’s localities
51023,23,us-va-023,Botetourt County                                  ,"34,154",6,401,"$7,895,012.00","$2,997,422.00","$589,304.00","$11,481,737.00",$336.00,"$104,413.00","$613,737.00","$47,976.00","$2,414,571.00","$3,180,697.00",$93.00,"$778,277.00",$23.00,"$978,265.00","$497,067.00"," $	1,475,332 ",$66.00,"$16,916,043.00",$495.00,"$9,204,572.00","$5,314,684.00","$2,396,787.00",47.1,72941,6.72,Alleghany,Southwest,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan,LOWER,3rd Quartile,LOWER,1st Quartile,higher than 50% of Virginia’s localities
51025,25,us-va-025,Brunswick County                                  ,"15,801",7,468,"$6,587,408.00","$2,500,977.00","$37,931.00","$9,126,315.00",$578.00,"$70,633.00","$415,175.00","$32,454.00","$2,353,583.00","$2,871,844.00",$182.00,"$70,045.00",$4.00,"$349,983.00","$579,912.00"," $	929,894 ",$63.00,"$12,998,099.00",$823.00,"$7,387,142.00","$4,010,464.00","$1,600,493.00",43.3,49597,17.77,Southside,Central,Southside Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,1st Quartile,HIGHER,4th Quartile,lower than 75% of Virginia’s localities
51027,27,us-va-027,Buchanan County                                   ,"18,978",5,334,"$5,713,061.00","$2,169,022.00","$260,980.00","$8,143,063.00",$429.00,"$165,833.00","$974,758.00","$76,197.00","$2,725,805.00","$3,942,593.00",$208.00,"$396,921.00",$21.00,"$716,832.00","$414,223.00"," $	1,131,055 ",$81.00,"$13,613,632.00",$717.00,"$6,977,726.00","$4,716,479.00","$1,919,428.00",47.8,37093,25.24,Cumberland Plateau,Southwest,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,1st Quartile,HIGHER,4th Quartile,lower than 75% of Virginia’s localities
51029,29,us-va-029,Buckingham County                                 ,"16,988",3,201,"$3,682,816.00","$1,398,219.00","$164,937.00","$5,245,971.00",$309.00,"$73,704.00","$433,226.00","$33,865.00","$1,401,921.00","$1,942,716.00",$114.00,"$233,483.00",$14.00,"$746,349.00","$248,534.00"," $	994,882 ",$72.00,"$8,417,052.00",$495.00,"$4,333,976.00","$2,919,999.00","$1,163,077.00",43.0,49841,14.78,Piedmont,Central,Southside Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,LOWER,2nd Quartile,HIGHER,3rd Quartile,lower than 50% of Virginia’s localities
51031,31,us-va-031,Campbell County                                   ,"55,248",5,334,"$5,725,084.00","$2,173,587.00","$358,961.00","$8,257,632.00",$149.00,"$135,123.00","$794,248.00","$62,086.00","$2,447,755.00","$3,439,212.00",$62.00,"$544,794.00",$10.00,"$4,052,209.00","$414,223.00"," $	4,466,431 ",$91.00,"$16,708,069.00",$302.00,"$6,940,386.00","$7,110,896.00","$2,656,788.00",42.8,53918,9.45,Central Virginia,Southwest,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan,LOWER,2nd Quartile,LOWER,2nd Quartile,lower than 50% of Virginia’s localities
51033,33,us-va-033,Caroline County                                   ,"32,705",12,803,"$15,975,362.00","$6,065,210.00","$333,884.00","$22,374,455.00",$684.00,"$113,626.00","$667,890.00","$52,209.00","$3,967,186.00","$4,800,912.00",$147.00,"$435,835.00",$13.00,"$1,703,530.00","$994,134.00"," $	2,697,664 ",$96.00,"$30,308,866.00",$927.00,"$17,518,018.00","$9,219,566.00","$3,571,282.00",39.5,76528,10.83,Rappahannock,Northwest,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,LOWER,3rd Quartile,HIGHER,2nd Quartile,higher than 50% of Virginia’s localities
51035,35,us-va-035,Carroll County                                    ,"29,202",3,201,"$3,044,305.00","$1,155,801.00","$363,575.00","$4,563,681.00",$156.00,"$165,833.00","$974,758.00","$76,197.00","$2,236,072.00","$3,452,860.00",$118.00,"$622,622.00",$21.00,"$1,737,263.00","$248,534.00"," $	1,985,797 ",$89.00,"$10,624,960.00",$364.00,"$4,265,497.00","$4,468,157.00","$1,891,305.00",48.0,45220,15.19,Mount Rogers,Southwest,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,1st Quartile,HIGHER,3rd Quartile,lower than 75% of Virginia’s localities
51036,36,us-va-036,Charles City County                               ,"6,635", 	-   ,16, $	-   ,"$126,603.00","$6,213.00","$132,816.00",$20.00,"$9,213.00","$54,153.00","$4,233.00","$104,999.00","$172,599.00",$26.00,"$7,783.00",$1.00,"$261,433.00","$19,914.00"," $	281,347 ",$44.00,"$594,544.00",$90.00,"$143,861.00","$336,634.00","$114,050.00",51.4,59543,12.34,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,LOWER,3rd Quartile,HIGHER,3rd Quartile,higher than 50% of Virginia’s localities
51037,37,us-va-037,Charlotte County                                  ,"11,387",4,268,"$4,028,491.00","$1,529,458.00","$166,887.00","$5,724,836.00",$503.00,"$73,704.00","$433,226.00","$33,865.00","$1,646,787.00","$2,187,582.00",$192.00,"$287,962.00",$25.00,"$425,882.00","$331,378.00"," $	757,261 ",$92.00,"$8,957,641.00",$787.00,"$4,747,980.00","$2,934,254.00","$1,275,407.00",46.6,45567,19.14,Piedmont,Central,Southside Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,1st Quartile,HIGHER,4th Quartile,lower than 75% of Virginia’s localities
51041,41,us-va-041,Chesterfield County                               ,"384,693",77,"5,016","$98,213,665.00","$37,287,823.00","$4,826,674.00","$140,328,162.00",$365.00,"$1,283,545.00","$7,544,611.00","$589,763.00","$29,986,361.00","$39,404,280.00",$102.00,"$6,405,220.00",$17.00,"$12,203,009.00","$6,213,339.00"," $	18,416,348 ",$65.00,"$204,554,009.00",$532.00,"$112,522,966.00","$64,903,938.00","$27,127,106.00",38.9,88315,6.91,Chesterfield,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51043,43,us-va-043,Clarke County                                     ,"15,405",1,67,"$1,453,298.00","$551,759.00","$71,595.00","$2,076,652.00",$135.00,"$46,065.00","$270,766.00","$21,166.00","$661,942.00","$999,939.00",$65.00,"$85,610.00",$6.00,"$636,715.00","$82,845.00"," $	719,560 ",$52.00,"$3,881,762.00",$252.00,"$1,778,726.00","$1,550,469.00","$552,566.00",47.6,86633,5.82,Lord Fairfax,Northwest,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51045,45,us-va-045,Craig County                                      ,"4,827", 	-   ,16, $	-   ,"$144,187.00","$35,379.00","$179,566.00",$37.00,"$9,213.00","$54,153.00","$4,233.00","$104,999.00","$172,599.00",$36.00,"$38,914.00",$8.00,"$459,616.00","$19,914.00"," $	479,530 ",$107.00,"$870,608.00",$180.00,"$179,485.00","$508,602.00","$182,522.00",49.2,60283,14.22,Alleghany,Southwest,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan,LOWER,3rd Quartile,HIGHER,3rd Quartile,higher than 50% of Virginia’s localities
51047,47,us-va-047,Culpeper County                                   ,"55,065",8,535,"$11,157,302.00","$4,235,984.00","$749,528.00","$16,142,814.00",$293.00,"$218,040.00","$1,281,627.00","$100,185.00","$3,933,091.00","$5,532,942.00",$100.00,"$933,932.00",$17.00,"$2,395,062.00","$662,756.00"," $	3,057,818 ",$72.00,"$25,667,506.00",$466.00,"$13,224,629.00","$8,835,766.00","$3,607,111.00",39.0,85274,7.21,Rappahannock/Rapidan,Northwest,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51049,49,us-va-049,Cumberland County                                 ,"9,875", 	-   ,48, $	-   ,"$264,314.00","$43,236.00","$307,550.00",$31.00,"$27,639.00","$162,460.00","$12,699.00","$314,998.00","$517,796.00",$52.00,"$77,828.00",$8.00,"$299,383.00","$59,741.00"," $	359,124 ",$44.00,"$1,262,298.00",$128.00,"$366,387.00","$618,100.00","$277,811.00",45.4,57568,7.13,Piedmont,Central,Southside Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,2nd Quartile,LOWER,1st Quartile,lower than 50% of Virginia’s localities
51051,51,us-va-051,Dickenson County                                  ,"13,594",5,334,"$5,100,199.00","$1,936,343.00","$173,595.00","$7,210,137.00",$530.00,"$82,917.00","$487,379.00","$38,098.00","$1,975,069.00","$2,583,463.00",$190.00,"$295,745.00",$22.00,"$868,632.00","$414,223.00"," $	1,282,854 ",$116.00,"$11,372,200.00",$837.00,"$5,931,933.00","$3,847,911.00","$1,592,357.00",45.3,33905,21.18,Cumberland Plateau,Southwest,Southwest Region,Rural (Micropolitan),Rural (Counties in micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,1st Quartile,HIGHER,4th Quartile,lower than 75% of Virginia’s localities
51053,53,us-va-053,Dinwiddie County                                  ,"28,377",8,535,"$11,445,359.00","$4,345,348.00","$89,703.00","$15,880,410.00",$560.00,"$42,994.00","$252,715.00","$19,755.00","$2,348,204.00","$2,663,668.00",$94.00,"$108,959.00",$4.00,"$910,798.00","$662,756.00"," $	1,573,554 ",$59.00,"$20,226,591.00",$713.00,"$12,224,143.00","$5,847,800.00","$2,154,649.00",42.9,68918,10.52,Crater,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,LOWER,3rd Quartile,HIGHER,2nd Quartile,higher than 50% of Virginia’s localities
51057,57,us-va-057,Essex County                                      ,"10,618", 	-   ,75, $	-   ,"$456,424.00","$172,789.00","$629,214.00",$59.00,"$42,994.00","$252,715.00","$19,755.00","$489,996.00","$805,460.00",$76.00,"$280,180.00",$26.00,"$463,832.00","$92,931.00"," $	556,764 ",$79.00,"$2,271,617.00",$214.00,"$685,156.00","$1,022,300.00","$564,161.00",47.1,54375,16.1,Three Rivers,Eastern,Eastern Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,2nd Quartile,HIGHER,3rd Quartile,lower than 50% of Virginia’s localities
51059,59,us-va-059,Fairfax County                                    ,"1,146,677",113,"7,424","$137,184,685.00","$52,083,569.00","$8,485,204.00","$197,753,458.00",$172.00,"$2,162,863.00","$12,713,199.00","$993,792.00","$46,763,009.00","$62,632,862.00",$55.00,"$11,930,986.00",$10.00,"$36,495,177.00","$9,195,742.00"," $	45,690,919 ",$50.00,"$318,008,225.00",$277.00,"$160,656,435.00","$111,240,599.00","$46,111,191.00",38.3,133974,6.13,Fairfax,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51061,61,us-va-061,Fauquier County                                   ,"75,256",9,602,"$13,159,309.00","$4,996,066.00","$726,860.00","$18,882,235.00",$251.00,"$165,833.00","$974,758.00","$76,197.00","$3,705,272.00","$4,922,060.00",$65.00,"$863,887.00",$11.00,"$2,112,546.00","$745,601.00"," $	2,858,146 ",$49.00,"$27,526,329.00",$366.00,"$15,039,606.00","$8,876,121.00","$3,610,603.00",40.9,111368,5.88,Rappahannock/Rapidan,Northwest,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51063,63,us-va-063,Floyd County                                      ,"15,693", 	-   ,43, $	-   ,"$282,759.00","$234,159.00","$516,918.00",$33.00,"$24,568.00","$144,409.00","$11,288.00","$279,998.00","$460,263.00",$29.00,"$350,225.00",$22.00,"$885,498.00","$53,104.00"," $	938,602 ",$82.00,"$2,266,007.00",$144.00,"$514,538.00","$1,141,847.00","$609,623.00",48.0,51612,9.27,New River,Southwest,West Central Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,LOWER,2nd Quartile,LOWER,2nd Quartile,lower than 50% of Virginia’s localities
51065,65,us-va-065,Fluvanna County                                   ,"28,480",3,201,"$3,436,160.00","$1,304,573.00","$107,723.00","$4,848,457.00",$170.00,"$76,775.00","$451,277.00","$35,276.00","$1,429,726.00","$1,993,054.00",$70.00,"$163,438.00",$6.00,"$1,501,130.00","$248,534.00"," $	1,749,664 ",$67.00,"$8,754,613.00",$307.00,"$4,059,370.00","$3,441,689.00","$1,253,554.00",43.3,82983,4.57,Blue Ridge,Northwest,Central Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51067,67,us-va-067,Franklin County                                   ,"55,471",9,602,"$11,644,139.00","$4,420,816.00","$2,114,926.00","$18,179,882.00",$328.00,"$245,679.00","$1,444,087.00","$112,884.00","$4,428,202.00","$6,230,852.00",$112.00,"$2,840,711.00",$51.00,"$4,060,642.00","$745,601.00"," $	4,806,243 ",$138.00,"$32,057,687.00",$578.00,"$14,965,439.00","$11,349,002.00","$5,743,246.00",48.1,59667,13.31,West Piedmont,Southwest,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan,LOWER,3rd Quartile,HIGHER,3rd Quartile,higher than 50% of Virginia’s localities
51069,69,us-va-069,Frederick County                                  ,"96,178",11,736,"$16,422,369.00","$6,234,921.00","$1,123,285.00","$23,780,575.00",$247.00,"$326,505.00","$1,919,182.00","$150,023.00","$5,649,750.00","$8,045,459.00",$84.00,"$1,307,505.00",$14.00,"$5,447,922.00","$911,290.00"," $	6,359,212 ",$80.00,"$39,492,752.00",$411.00,"$19,456,350.00","$14,445,138.00","$5,591,263.00",40.4,84317,6.74,Lord Fairfax,Northwest,Valley Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51071,71,us-va-071,Giles County                                      ,"16,461",3,201,"$3,829,866.00","$1,454,048.00","$205,827.00","$5,489,741.00",$333.00,"$76,775.00","$451,277.00","$35,276.00","$1,429,726.00","$1,993,054.00",$121.00,"$280,180.00",$17.00,"$1,100,548.00","$248,534.00"," $	1,349,081 ",$99.00,"$9,112,056.00",$554.00,"$4,526,894.00","$3,289,402.00","$1,295,760.00",45.1,57911,10.26,New River,Southwest,West Central Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,LOWER,2nd Quartile,HIGHER,2nd Quartile,lower than 50% of Virginia’s localities
51073,73,us-va-073,Gloucester County                                 ,"40,024",11,736,"$13,570,124.00","$5,152,036.00","$464,096.00","$19,186,256.00",$479.00,"$135,123.00","$794,248.00","$62,086.00","$3,916,955.00","$4,908,412.00",$123.00,"$653,753.00",$16.00,"$2,567,945.00","$911,290.00"," $	3,479,235 ",$103.00,"$28,227,656.00",$705.00,"$15,249,578.00","$9,282,142.00","$3,695,935.00",44.5,77733,7.45,Three Rivers,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,LOWER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51075,75,us-va-075,Goochland County                                  ,"27,216",5,334,"$8,587,314.00","$2,795,255.00","$26,379.00","$11,408,948.00",$419.00,"$49,136.00","$288,817.00","$22,577.00","$1,669,214.00","$2,029,744.00",$75.00,"$31,131.00",$1.00,"$868,632.00","$414,223.00"," $	1,282,854 ",$48.00,"$14,752,677.00",$542.00,"$8,812,313.00","$4,416,655.00","$1,523,709.00",48.8,100517,4.19,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51077,77,us-va-077,Grayson County                                    ,"15,235",1,67,"$949,074.00","$360,325.00","$501,556.00","$1,810,955.00",$119.00,"$176,240.00","$1,035,930.00","$80,979.00","$1,840,564.00","$3,133,713.00",$206.00,"$918,367.00",$60.00,"$847,548.00","$82,845.00"," $	930,393 ",$121.00,"$6,793,428.00",$446.00,"$2,194,757.00","$3,007,810.00","$1,590,860.00",48.4,43022,17.56,Mount Rogers,Southwest,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,1st Quartile,HIGHER,4th Quartile,lower than 75% of Virginia’s localities
51079,79,us-va-079,Greene County                                     ,"21,391",1,67,"$1,157,040.00","$439,282.00","$248,729.00","$1,845,051.00",$86.00,"$89,058.00","$523,481.00","$40,921.00","$1,051,212.00","$1,704,673.00",$80.00,"$373,573.00",$17.00,"$995,131.00","$82,845.00"," $	1,077,976 ",$68.00,"$5,001,273.00",$234.00,"$1,813,343.00","$2,229,628.00","$958,303.00",39.8,73844,10.08,Blue Ridge,Northwest,Central Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,LOWER,3rd Quartile,HIGHER,2nd Quartile,higher than 50% of Virginia’s localities
51081,81,us-va-081,Greensville County                                ,"11,174",8,535,"$8,365,510.00","$3,176,051.00","$46,832.00","$11,588,393.00","$1,037.00","$51,515.00","$302,802.00","$23,670.00","$2,425,356.00","$2,803,344.00",$251.00,"$77,828.00",$7.00,"$640,932.00","$662,756.00"," $	1,303,688 ",$124.00,"$15,773,253.00","$1,412.00","$9,152,443.00","$4,759,672.00","$1,861,139.00",40.4,53063,11.38,Crater,Central,Southside Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,2nd Quartile,HIGHER,2nd Quartile,lower than 50% of Virginia’s localities
51083,83,us-va-083,Halifax County                                    ,"33,434",7,468,"$7,942,179.00","$3,015,329.00","$218,498.00","$11,176,006.00",$334.00,"$116,697.00","$685,941.00","$53,620.00","$2,770,658.00","$3,626,917.00",$108.00,"$334,659.00",$10.00,"$1,007,781.00","$579,912.00"," $	1,587,693 ",$57.00,"$16,725,275.00",$500.00,"$9,087,016.00","$5,453,429.00","$2,184,830.00",46.4,45962,15.11,Southside,Central,Southside Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,1st Quartile,HIGHER,3rd Quartile,lower than 75% of Virginia’s localities
